question,metric_type,metric_designer,metric_title,topic,about,methodology,value_type,value_options,report_type,research_policy
Does the company disclose the process for remediation when non-compliances are found in a facility?,Research,Fashion Revolution,Remediation Process,"Remediation, Non-Compliance, Corrective Action Plans, Facility, Procedure, Process, stop-work notices, warning letters, supplementary, training, policy revision, fix, audits, FTI 2020","Disclosing a company’s processes for remediation implies that the company is taking action to remediate human rights and environmental issues happening within their supply chain when found. 
","In this question you are being asked to identify whether the company publicly discloses the process for remediation when non-compliances are found in a facility. In other words, what do companies expect suppliers to do to fix problems found during audits, and are they committed to supporting the process. 

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Non compliance
- Remediation
- Corrective action plans (CAPs)
- Warning letters
- Stop work notices
- Supplementary training
- Zero-tolerance

Things to keep in mind: 
- For example, remediation processes might be corrective action plans that include stop-work notices, warning letters, supplementary training, and/or policy revision",Category,Yes; No,,designer assessed
"Does the company disclose how they engage with workers/producers/farmers, trade unions and any other affected stakeholders in the development and implementation of remediation/corrective action plans?",Research,Fashion Revolution,Affected Stakeholder Engagement in Remediation,"Stakeholder, Workers, Farmers, Trade Union, Remediation, Non-compliance, Corrective Action Plan, CAP, FTI 2020","Including affected stakeholders, such as workers, farmers and trade unions, in the remediation process shows that the company is taking steps to ensure the affected stakeholders issues are effectively remediated.
","In this question you are being asked to identify whether the company publicly discloses how they engage with workers/producers/farmers, trade unions and any other affected stakeholders in the development and implementation of remediation/corrective action plans. Start by looking for information about what brands expect suppliers to do to fix problems found during audits and then look whether they detail whether stakeholders are involved.

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Non-compliance
- Remediation
- Corrective action plans (CAPs)
- Stakeholders e.g. workers, producers, farmers and trade unions

Things to keep in mind:
- We are looking for evidence that stakeholders have been consulted in the creation of the remediation plan and implementation process 
",Category,Yes; No,,designer assessed
"Does the company disclose its exit strategy for terminating relationships with suppliers?
",Research,Fashion Revolution,Exit Strategy,"Non-Compliance, Exit Strategy, Facility, Procedure, Process, Stop-Work Notices, Warning Letters, Corrective Action Plan, CAP, Remediation, FTI 2020","We are looking to see if the company has a policy that is beyond cutting-and-running when ending relationships with suppliers. We are looking to see if they disclose how they work to manage the possible adverse impacts and risks to workers during the process.

","In this question you are being asked to identify whether the company publicly discloses their exit strategy for when they end a relationship with a supplier. 

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)


Good key words for your searches include:
- Non-compliance
- Remediation
- Corrective action plans (CAPs)
- Exit strategy
- Responsible exit strategy

Things to keep in mind:
- We are looking to see if the company has a policy that is beyond cutting-and-running when ending relationships with suppliers. We are looking to see if they disclose how they work to manage the possible adverse impacts and risks to workers during the process.
- It is not sufficient to say they have an exit plan in place if they do not disclose the exit plan itself
-  we will only allow point for exit plans disclosed that describe a process beyond cutting and running ",Category,Yes; No,,designer assessed
"Does the company disclose the percentage breakdown or number of facilities with remediation plans and status, without naming individual facilities?",Research,Fashion Revolution,Summary of Remediation Plans and Status,"Remediation, Non-Compliance, Corrective Action Plans, Stop-Work Notices, Warning Letters, Exit Strategy, Facility, Procedure, Process, Status, FTI 2020","When companies disclose an aggregated breakdown of suppliers remediation status it can give an indication of the overall compliance trends within their supply chain and can allow stakeholders to track progress over time. 

  ","In this question you are being asked to identify whether the company discloses the number of facilities with remediation plans (e.g., Corrective Action Plans) and their status (complete, on-track or behind schedule), without naming individual facilities. 

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Non-compliance
- Remediation
- Corrective action plans (CAPs)
- Status

Things to keep in mind:
- Example of a remediation plan would be Corrective Action Plans
- Examples of the status would be: complete, on-track or behind schedule)
- This is often a statement e.g. 50% of suppliers have remediation plans in progress, 10% of suppliers have completed their completed their corrective action plans. ",Category,"At tier 1 level; 
Beyond tier 1; 
Raw material level; 
None",,designer assessed
Does the company disclose Corrective Action Plans and the remediation status by named-facility?,Research,Fashion Revolution,Remediation Plan and Status by Named Facilities,"Remediation, Non-Compliance, Corrective Action Plans, Stop-Work Notices, Warning Letters, Exit Strategy, Facility, Procedure, Process, Status, FTI 2020","When companies disclose remediation plans or status by named facilities it demonstrates a genuine commitment to in depth transparency and allows other stakeholder to hold them to account and support them in their remediation efforts through increasing sharing of information and collaborative implementation. 
  ","In this question you are being asked to identify whether the company publicly discloses remediation status by named-facility (complete, on-track, behind schedule). 

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Noncompliance
- Remediation
- Corrective action plans (CAPs)
- Status
- supplier list
- supplier name 

Things to keep in mind:
- Example of a remediation plan would be Corrective Action Plans
- Examples of the status would be: complete, on-track or behind schedule)
- Where brands are publishing tier one supplier list in Section 3 and are members of the Bangladesh/Transition Accord, and the Accord is linked to from the brand's own website, then they should receive these points. This is because you could technically cross-reference their list with the Accord reports and find inspection reports and corrective action plans for specific factories. 
- Bangladesh Alliance no longer counts as it has ceased operations.
- Bangladesh Accord applies for tier 1 level and beyond tier 1 level",Category,"At tier 1 level; 
Beyond tier 1; 
Raw material level; 
None",,designer assessed
"Does the company describe a confidential whistleblowing or grievance mechanism (e.g. web form, email, hotline) for direct employees?",Research,Fashion Revolution,Grievance Mechanism - Direct Employees,"Grievance, Mechanism, Whistleblowing, Reporting, Complaint, Violation, Remediation, Corrective Action, Confidential, Ethics, Point of Contact, FTI 2020","Grievance mechanisms allow direct employees in the company to report any human rights or environmental issues to upper management so that action can be taken to address them
","In this question you are being asked to identify whether the company publicly discloses if has a confidental mechanism in place to capture human rights and environmental grievances from direct employees. 

Where to look for this information:
- Company code of conduct
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Grievance mechanisms
- Whistleblowing
- Ethics Line/Point
- Email Addresses
- @

Things to keep in mind: 
- No points given if whistleblowing is only for reasons of financial misconduct
- The grievance mechanism itself must be published, not sufficient if they just say that they have it in place",Category,Yes; No,,designer assessed
"Does the company explain how the whistleblowing or grievance mechanism for direct employees is implemented?
",Research,Fashion Revolution,Grievance Mechanism Implementation - Direct Employees,"Grievance, Mechanism, Whistleblowing, Reporting, Complaint, Violation, Remediation, Corrective Action, Confidential, Ethics, Point of Contact, FTI 2020","Grievance mechanisms allow direct employees in the company to report any human rights or environmental issues to upper management so that action can be taken to address them
","In this question you are being asked to identify whether the company publicly discloses how it implements its grievance or whistleblowing mechanism for direct employees. Start by looking for a public disclosure detailing how the company capture human rights and environmental grievances from direct employees. 

Where to look for this information:
- Company code of conduct
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Grievance mechanisms
- Whistleblowing
- Ethics Line/Point
- Email Addresses 
- @

Things to keep in mind: 
- No points given if whistleblowing is only for reasons of financial misconduct
- An example of how the mechanism is implemented is an explanation of how the company responds to complaints and/or reported violations of policies and standards",Category,Yes; No,,designer assessed
"Does the company disclose the number of reported violations or grievances from direct empolyees that are filed, addressed and resolved?",Research,Fashion Revolution,Grievance Reporting - Direct Employees,"Grievance, Mechanism, Whistleblowing, Reporting, Complaint, Violation, Remediation, Corrective Action, Confidential, Ethics, Point of Contact, FTI 2020","Grievance mechanisms allow direct employees in the company to report any human rights or environmental issues to upper management so that action can be taken to address them
","In this question you are being asked to identify whether the company publicly discloses the number of violations or grievances from direct empolyees that were filed, addressed and resolved. Start by looking for a public disclosure detailing how the company captures and addresses human rights and environmental grievances from direct employees. 

Where to look for this information:
- Company code of conduct
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Grievance mechanisms
- Whistleblowing
- Ethics Line/Point
- Email Addresses 
- @

Things to keep in mind: 
- No points given if whistleblowing is only for reasons of financial misconduct
- The company should receive the point for discloses data about the grievances if they disclose the number of grievances filed. The compnay should not receive the point if they only disclose the number of grievances address or resolved without disclosing the number of grievances made in the first place. Best practice is when companies disclose all three.",Category,Yes; No,,designer assessed
"Does the company describe a confidential whistleblowing or grievance mechanism (e.g. web form, email, hotline) for supply chain workers?",Research,Fashion Revolution,Grievance Mechanism - Supply Chain Workers,"Grievance, Mechanism, Whistleblowing, Reporting, Complaint, Violation, Remediation, Corrective Action, Confidential, Ethics, Point of Contact, FTI 2020 
","Ensuring grievance mechanisms are in place throughout the supply provides an avenue for workers in the supply chain to report any human rights or environmental issues so that they can be addressed
","In this question you are being asked to identify whether the company ensures human rights and environmental grievances from workers within their supply chain are captured and addressed. Start by looking for public disclosure detailing how the company captures and addresses human rights and environmental grievances from employees in the supply chain.

Please note: Reports published after January 18
  
Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Grievance mechanisms
- Whistleblowing
- Ethics Line/Point
- Email Addresses 
- @

Things to keep in mind: 
- No points given if whistleblowing is only for reasons of financial misconduct
- No points given if onus is solely on the supplier to set up a grievance mechanism
- The grievance mechanism itself must be published in public documents of the company. It is not sufficient if they just say that they have it in place.",Category,Yes; No,,designer assessed
Does the company explain how the whistleblowing or feedback mechanism for supply chain workers is implemented?,Research,Fashion Revolution,Grievance Mechanism Implementation - Supply Chain Workers,"Grievance, Mechanism, Whistleblowing, Reporting, Complaint, Violation, Remediation, Corrective Action, Confidential, Ethics, Point of Contact, FTI 2020 
","Ensuring grievance mechanisms are in place throughout the supply provides an avenue for workers in the supply chain to report any human rights or environmental issues so that they can be addressed
","In this question you are being asked to identify whether the company ensures human rights and environmental grievances from workers within their supply chain are captured and addressed. Start by looking for public disclosure detailing how the company captures and addresses human rights and environmental grievances from employees in the supply chain.

Please note: Reports published after January 18
  
Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Grievance mechanisms
- Whistleblowing
- Ethics Line/Point
- Email Addresses 
- @

Things to keep in mind: 
- No points given if whistleblowing is only for reasons of financial misconduct
- No points given if onus is solely on the supplier to set up a grievance mechanism",Category,Yes; No,,designer assessed
Does the company explain how supply chain workers are informed of the whistleblowing or grievance mechanism? ,Research,Fashion Revolution,Grievance Mechanism Disseminated to Supply Chain Workers,"Grievance, Mechanism, Whistleblowing, Reporting, Complaint, Violation, Remediation, Corrective Action, Confidential, Ethics, Point of Contact, FTI 2020","Ensuring grievance mechanisms are in place throughout the supply provides an avenue for workers in the supply chain to report any human rights or environmental issues so that they can be addressed
","In this question you are being asked to identify whether the company ensures human rights and environmental grievances from workers within their supply chain are captured and addressed. Start by looking for public disclosure detailing how the company captures and addresses human rights and environmental grievances from employees in the supply chain.

Please note: Reports published after January 18
  
Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Grievance mechanisms
- Whistleblowing
- Ethics Line/Point
- Email Addresses 
- @

Things to keep in mind: 
- No points given if whistleblowing is only for reasons of financial misconduct
- No points given if onus is solely on the supplier to set up a grievance mechanism
- Examples of how workers might be informed about the grievance mechanisms available could be; posted on a wall or board in the facility or via a training session.",Category,Yes; No,,designer assessed
Does the company disclose if the whistleblowing procedure or grievance mechanism is included in the supplier/vendor policies? ,Research,Fashion Revolution,Grievance Mechanism in Supplier Policies,"Grievance, Mechanism, Whistleblowing, Reporting, Complaint, Violation, Remediation, Corrective Action, Confidential, Ethics, Point of Contact, FTI 2020 
","Ensuring grievance mechanisms are in place throughout the supply provides an avenue for workers in the supply chain to report any human rights or environmental issues so that they can be addressed
","In this question you are being asked to identify whether the company ensures human rights and environmental grievances from workers within their supply chain are captured and addressed. Start by looking for public disclosure detailing how the company captures and addresses human rights and environmental grievances from employees in the supply chain.

Please note: Reports published after January 18
  
Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Grievance mechanisms
- Whistleblowing
- Ethics Line/Point
- Email Addresses 
- @

Things to keep in mind: 
- No points given if whistleblowing is only for reasons of financial misconduct
- No points given if onus is solely on the supplier to set up a grievance mechanism
- In the supplier/vendor policies (e.g. Code of Conduct) the grievance mechanism itself must be published. It is not sufficient if they just say that they have it in place.",Category,Yes; No,,designer assessed
"Does the company disclose data about the number of reported violations or grievances from supply chain workers are filed, addressed and resolved?",Research,Fashion Revolution,Grievance Reporting - Supply Chain Workers,"Grievance, Mechanism, Whistleblowing, Reporting, Complaint, Violation, Remediation, Corrective Action, Confidential, Ethics, Point of Contact, FTI 2020
","Ensuring grievance mechanisms are in place throughout the supply provides an avenue for workers in the supply chain to report any human rights or environmental issues so that they can be addressed
","In this question you are being asked to identify whether the company ensures human rights and environmental grievances from workers within their supply chain are captured and addressed. Start by looking for public disclosure detailing how the company captures and addresses human rights and environmental grievances from employees in the supply chain.

Please note: Reports published after January 18
  
Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Grievance mechanisms
- Whistleblowing
- Ethics Line/Point
- Email Addresses 
- @

Things to keep in mind: 
- No points given if whistleblowing is only for reasons of financial misconduct
- The company should receive the point for discloses data about the grievances if they disclose only the number of grievances filed. The company should not receive the point if they disclose the number of grievances address or resolved without disclosing the number of grievances made in the first place. Best practice is when companies disclose all three.",Category,Yes; No,,designer assessed
"Does the company disclose their approach to recruitment fees in the supply chain, including whether the company requires that no fees or related costs be charged to supply chain workers during recruitment processes and that the company ensures that fees or related costs paid by workers are reimbursed?",Research,Fashion Revolution,Discloses Approach to Recruitment Fees,"Modern, Slavery, Forced, Labour, Labor, Recruitment, Agencies, Fees, Supply, Chain, Deposit, Bond, Bonded, Processes, Workers, Migrant, Suppliers, Debt, Documents, Passports, Employer Pays Principle, FTI 2020
","When a company disclosures it policies and approach to recruitment fees in the supply chain it provides an indication of their stance and the practises they support or avoid. Recruitment fees can be a form of modern slavery. 
","In this question you are being asked to identify whether the company states their approach to recruitment fees in the supply chain, such as ensuring no fees or related costs be charged to supply chain workers during recruitment processes.
  
Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Recruitment
- Modern Slavery
- Forced Labour
- Bonded Labour
- Migrant workers
- Fees 
- Debt bondage
- Employer Pays Principle

Things to keep in mind:
- A good place to look for information on modern slavery might be a company's Modern Slavery Statement or a California Transparency in Supply Chains Act statement.
- This could be signing up to the Employer Pays Principle",Category,Yes; No,,designer assessed
Does the company disclose information on the recruitment agencies used by its suppliers?,Research,Fashion Revolution,Discloses Supplier's Recruitment Agencies,"Modern, Slavery, Forced, Labour, Labor, Recruitment, Agencies, Fees, Supply, Chain, Deposit, Bond, Bonded, Processes, Workers, Migrant, Suppliers, Debt, FTI 2020",Recruitment agencies play a large role in the migration of workers and often charge them fees to place them in a job. Brands disclosing information about the recruitment agencies may have greater visibility and control of the agencies and their practices.   ,"In this question you are being asked to identify whether the company discloses information on the recruitment agencies used by its suppliers.

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Recruitment Agency
- Modern Slavery
- Forced Labour
- Bonded Labour
- Migrant workers
- Fees 
- Debt bondage

Things to keep in mind:
- A good place to look for information on modern slavery might be a company's Modern Slavery Statement or a California Transparency in Supply Chains Act statement.",Category,Yes; No,,designer assessed
Does the company disclose whether interviews are conducted with workers about their recruitment journey to establish if any fees or related costs have been paid?,Research,Fashion Revolution,Conducts Worker Interviews on Recruitment Process,"Modern, Slavery, Forced, Labour, Labor, Recruitment, Journey, Agencies, Fees, Supply, Chain, Deposit, Bond, Bonded, Processes, Workers, Migrant, Suppliers, Interviews, Debt, Costs, FTI 2020","Interviews with workers within the companies supply chain about their recruitment journey can help a company detect modern slavery related violations such as workers having to pay fees or any other costs.
","In this question you are being asked to identify whether the company interview workers within their supply chain to understand more about the recruitment journeys they have been through and if they were required to pay any fees or related costs.

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Recruitment Agency
- Modern Slavery
- Forced Labour
- Bonded Labour
- Migrant workers
- Fees 
- Debt bondage

Things to keep in mind:
- A good place to look for information on modern slavery might be a company's Modern Slavery Statement or a California Transparency in Supply Chains Act statement.",Category,Yes; No,,designer assessed
Does the company publish data on the prevalence of modern slavery related violations in supplier facilities?,Research,Fashion Revolution,Discloses Data on Modern Slavery Prevalence,"Modern, Slavery, Forced, Labour, Labor, Recruitment, Journey, Agencies, Fees, Supply, Chain, Deposit, Bond, Bonded, Processes, Workers, Migrant, Suppliers, Data, Violations, Freedom of Movement, Passports, Overtime, Wages, Debt, Bondage, Facilities, Factory, FTI 2020","Publishing data on modern slavery violations shows that a brand is committed to being working to identify and improve conditions for workers within their supply chain and that they working to be open and transparency about their findings and progress.
","In this question you are being asked to identify whether the company discloses data on the prevalence of modern slavery related violations in their supply chain. 

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Recruitment Agency
- Modern Slavery
- Forced Labour
- Bonded Labour
- Migrant workers
- Fees 
- Debt bondage

Things to keep in mind:
- Examples of modern slavery related violations include; restricted freedom of movement, retaining workers' passports or other identity/personal documents, forced overtime, withholding wages, debt bondage, grievances related to recruitment practices
- A good place to look for information on modern slavery might be a company's Modern Slavery Statement or a California Transparency in Supply Chains Act statement.",Category,Yes; No,,designer assessed
Does the company disclose their approach to achieving the payment of living wages to workers in the supply chain?,Research,Fashion Revolution,Discloses Approach to Living Wage,"Living Wage, Money, Wage, Anker Methodology, Asia Floor Wage, Collective, Bargaining, Commitment, ACT, Supply Chain, Purchasing Practices, Forecasting, Long Term, Labour Minute Costing, FTI 2020","
When a company discloses its approach to achieving the payment of living wages to workers within their supply chain it gives an indication that improving wagers for workers is a priority for the company. 
","In this question you are being asked to identify whether the company describes its approach to achieving the payment of living wages to workers in the supply chain.

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or 
- California Transparency Act disclosure
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Living wage
- Anker methodology
- Asia Floor Wage
- ACT
- Fair Labor Association
- Fair Wage Ladder 

Things to keep in mind:
- The living wage questions refer to garment workers, factory workers and other supply chain producer involved in production. It doesn't include retail workers, warehouse staff or other employees in the company's owned operations.
-  This question must be evidenced through a credible process such as ACT membership, Fair Wear Foundation’s Fair Wage Ladder, Fairtrade Textile Standard, FLA's Fair Compensation Strategy.",Category,Yes; No,,designer assessed
"Does the company publish a time-bound, measurable roadmap/strategy for how it will achieve a living wage for all workers across its supplier chain?",Research,Fashion Revolution,Discloses Strategy to Achieving Living Wage,"Living Wage, Goal, Time-bound, Measurable, Target, Money, Wage, Anker Methodology, Asia Floor Wage, Collective, Bargaining, Commitment, ACT, Supply Chain, Purchasing Practices, Forecasting, Long Term, Labour Minute Costing, FTI 2020","If a company has a time-bound commitment to paying living wages for all workers within its supply chain it shows a commitment that goes beyond one off projects or programmes which often have a very limited reach
","In this question you are being asked to identify whether the company publishes a time-bound, measurable roadmap/strategy for how it will achieve a living wage for all workers across its supplier chain.

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or 
- California Transparency Act disclosure
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Living wage
- ACT
- Fair Labor Association

Things to keep in mind:
- The living wage questions refer to garment workers, factory workers and other supply chain producers working within the companies supply chain only and not the companies direct workers",Category,Yes; No,,designer assessed
"Does the company report annual, measurable progress towards paying living wages to workers in the supply chain?",Research,Fashion Revolution,Discloses Progress toward the payment of a Living Wage to workers in the supply chain,"Living Wage, Target, Goal, Progress Money, Wage, Anker Methodology, Asia Floor Wage, Collective, Bargaining, Commitment, ACT, Supply Chain, FTI 2020","Reporting on annual, measurable progress shows the outcomes of a company’s work over time, and can provide an indication of how successful their efforts are
","In this question you are being asked to identify whether the company reports on annual measurable progress on achieving the payment of a living wage for workers within the supply chain.

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or 
- California Transparency Act disclosure
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Living wage
- ACT
- Fair Labor Association

Things to keep in mind:
- The living wage questions refer to garment workers, factory workers and other supply chain producer involved in production. It doesn't include retail workers, warehouse staff or other employees in the company's owned operations.
- This could include data such as the number of wage management systems set up/improved, the outcomes of worker capacity building related to wage increases, outcomes of participation in initiatives such as ACT or FLA, the % of wage increases workers in the supply chain have received as result of brand's effort to improve wages, etc.",Category,Yes; No,,designer assessed
Does the company disclose what living wage estimates they use to track and benchmark wages for workers in its supply chain?,Research,Fashion Revolution,Discloses Living Wage Estimates Used for Benchmarking,"Living Wage, Target, Goal, Progress, Money, Wage, Anker Methodology, Asia Floor Wage, Collective, Bargaining, Commitment, ACT, Supply Chain, FTI 2020","It is important for brands to use credible living wage estimates that will achieve significant improvements to workers incomes when reached. 
","In this question you are being asked to identify whether the company discloses what living wage estimates they use to track and benchmark wages for workers in its supply chain.

Where to look for this information:
- Corporate Social Responsibility report
- In Modern Slavery Statement or 
- California Transparency Act disclosure
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Living wage
- Anker methodology
- Asia Floor Wage
- ACT
- Fair Labor Association
- Fair Wage Ladder 
- WageIndicator Foundation data

Things to keep in mind:
- We are looking for information about how brands calculate and benchmark living wage rates for workers in their supply chain, such as by using the Anker methodology, Asia Floor Wage or WageIndicator Foundation data. They could be using multiple benchmarks.
- We will also accept if the brand uses in-house methods of calculating living wages but only if they disclose their calculation methodology. ",Category,Yes; No,,designer assessed
