Mandatory for:,Metric Designer,Metric Title,Question,About,Methodology,Topics,Value Type,Research Policy,Metric Type,Report Type
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total generation of electricity exported to grid (kWh),What is the total amount of electricity which has been generated and exported to the National Grid or a third party?,"The field in this entity contains data about the generation of electricity that is exported to the National Grid for the whole estate. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. ","This is renewable electricity, defined in kilowatt-hours (kWh), which has been generated and exported to the National Grid or a third party. This should not include generation of electricity by renewable resources that is consumed by the HEP and included in Energy consumption.

The Defra conversion factors and guidance states that if an organisation is generating electricity and exporting it to the National Grid then an emission reduction should be reported. HESA will include this emission reduction when calculating scope 1 and 2
carbon emissions. HESA will use the following guidance when calculating the scope 1 and 2 carbon emissions:
• multiplying the consumption figures by the relevant conversion factor for that fuel,
• subtracting emissions equivalent to electricity generated and exported to the National Grid.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total water consumption (m3),What is the total water consumption of the whole estate?,"This field contains data about the total water consumption of the whole estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: part of the move to mandatory reporting of scope 3 carbon emissions.",Total water consumption for the whole estate. Sum total of Non-residential water consumption and Residential water consumption.,"University Metrics, SDG6: Clean Water and Sanitation (universities)",Number (m3),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Non-residential water consumption (m3),What is the total water consumption of the residential estate?,"This field contains data about the water consumption of the residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: part of the move to mandatory reporting of scope 3 carbon emissions.","Figure for the water consumption of the residential estate.","University Metrics, SDG6: Clean Water and Sanitation (universities)",Number (m3),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Residential water consumption (m3),What is the total water consumption of the non-residential estate?,"This field contains data about the water consumption of the non-residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: part of the move to mandatory reporting of scope 3 carbon emissions.",Figure for the water consumption of the non-residential estate.,"University Metrics, SDG6: Clean Water and Sanitation (universities)",Number (m3),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total scope 1 and 2 carbon emissions (Kg CO2e),What is the total scope 1 and 2 carbon emissions for the whole estate?,"This field contains data about the total scope 1 and 2 carbon emissions for the whole estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","Total scope 1 and 2 carbon emissions for the whole estate. Scope 1 and 2 carbon emissions from vehicles must be excluded from both Non-residential scope 1 and 2 carbon emissions total and Residential scope 1 and 2 carbon emissions total. A vehicle should not be given a non-residential or residential distinction for the purposes of the Estates management record. This ensures that the scope 1 and 2 carbon emissions from vehicles are not double counted within Total scope 1 and 2 carbon emissions.

Sum total of Scope 1 and 2 carbon emissions grid electricity, Scope 1 and 2 carbon emissions biofuels, Scope 1 and 2 carbon emissions burning oil, Scope 1 and 2 carbon emissions compressed natural gas, Scope 1 and 2 carbon emissions coal (industrial), Scope 1 and 2 carbon emissions fuel oil, Scope 1 and 2 carbon emissions gas oil, Scope 1 and 2 carbon emissions liquefied natural gas, Scope 1 and 2 carbon emissions liquefied petroleum gas, Scope 1 and 2 carbon emissions lubricants, Scope 1 and 2 carbon emissions natural gas , Scope 1 and 2 carbon emissions other petroleum gas, Scope 1 and 2 carbon emissions petroleum coke, Scope 1 and 2 carbon emissions biomass, Scope 1 and 2 carbon emissions onsite photovoltaic, Scope 1 and 2 carbon emissions onsite wind, Scope 1 and 2 carbon emissions steam and hot water, Scope 1 and 2 carbon emissions other onsite renewables, Scope 1 and 2 carbon emissions vehicles aviation spirit, Scope 1 and 2 carbon emissions vehicles aviation turbine fuel, Scope 1 and 2 carbon emissions vehicles biofuels, Scope 1 and 2 carbon emissions vehicles diesel, Scope 1 and 2 carbon emissions vehicles liquefied petroleum gas, and Scope 1 and 2 carbon emissions vehicles petrol.

This field is calculated from the sum of each scope 1 and 2 carbon emission constituent as well as each of the scope 1 and 2 vehicle emissions (as listed above). It is anticipated that each of these emissions would have a residential and non-residential split (where applicable), therefore the expected total should match the sum total of Non-residential scope 1 and 2 carbon emissions total, Residential scope 1 and 2 carbon emissions total, Scope 1 and 2 carbon emissions vehicles aviation spirit, Scope 1 and 2 carbon emissions vehicles aviation turbine fuel, Scope 1 and 2 carbon emissions vehicles biofuels, Scope 1 and 2 carbon emissions vehicles diesel, Scope 1 and 2 carbon emissions vehicles liquefied petroleum gas, and Scope 1 and 2 carbon emissions vehicles petrol. ","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions burning oil (Kg CO2e),What is the total scope 1 and 2 carbon emissions from burning oil for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from burning oil. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from burning oil (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption burning oil as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions fuel oil (Kg CO2e),What is the total scope 1 and 2 carbon emissions from fuel oil for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from fuel oil. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from fuel oil (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption fuel oil as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions gas oil (Kg CO2e),What is the total scope 1 and 2 carbon emissions from gas oil for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from gas oil. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from gas oil (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption gas oil as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions compressed natural gas (Kg CO2e),What is the total scope 1 and 2 carbon emissions from compressed natural gas for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from compressed natural gas. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from compressed natural gas (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption compressed natural gas as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions liquefied natural gas (Kg CO2e),What is the total scope 1 and 2 carbon emissions from liquefied natural gas for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from liquefied natural gas. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.   ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from liquefied natural gas (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption liquefied natural gas as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions liquefied petroleum gas (Kg CO2e),What is the total scope 1 and 2 carbon emissions from liquefied  petroleum gas for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from liquefied petroleum gas. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  
","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from liquefied petroleum gas (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption liquefied petroleum gas as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions lubricants (Kg CO2e),What is the total scope 1 and 2 carbon emissions from lubricants for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from lubricants. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from lubricants (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption lubricants as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions natural gas (Kg CO2e),What is the total scope 1 and 2 carbon emissions from natural gas for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from natural gas. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.   ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from natural gas (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption natural gas excluding that used as input for a CHP unit and Energy consumption natural gas used as input for a CHP unit as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions other petroleum gas (Kg CO2e),What is the total scope 1 and 2 carbon emissions from other petroleum gas for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from other petroleum gas. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.   ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from other petroleum gas (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption other petroleum gas as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions grid electricity (Kg CO2e),What is the total scope 1 and 2 carbon emissions from grid electricity for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from grid electricity. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.   ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from grid electricity (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption grid electricity as well as supplemental information.
","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency,Scope 1 and 2 carbon emissions coal (industrial) (Kg CO2e),What is the total scope 1 and 2 carbon emissions from coal (industrial) for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from coal (industrial). The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics. ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from coal (industrial) (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption coal (industrial) as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions steam and hot water (Kg CO2e),What is the total scope 1 and 2 carbon emissions from steam and hot water for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from steam and hot water. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from steam and hot water (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption steam and hot water as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions biofuels (Kg CO2e),What is the total scope 1 and 2 carbon emissions from biofuels for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from biofuels. The value can be recorded to three decimal places.This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.   ","Total scope 1 and 2 carbon emissions from biofuels (Kg CO2 per litre) for the whole estate.

If a figure was returned under Energy consumption biofuels (kWh), higher education providers (HEPs) will need to calculate the scope 1 and 2 emissions.

The consumption figure returned by the HEP should be broken down by the type of biofuel, the component figures multiplied by the corresponding Defra conversion factors to produce the scope 1 and 2 carbon emissions. The sum of these should then be returned in this field.

The Defra conversion factors and guidance to support HEPs in returning this field can be found in the downloadable Excel spreadsheet, under the ‘Bioenergy’ tab.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions petroleum coke (Kg CO2e),What is the total scope 1 and 2 carbon emissions from petroleum coke for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from petroleum coke. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from petroleum coke (kWh) for the whole estate.

The Defra conversion factors and guidance provide the conversion factor that will be used for Energy consumption petroleum coke as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions biomass (Kg CO2e),What is the total scope 1 and 2 carbon emissions from biomass for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from biomass. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","Total scope 1 and 2 carbon emissions from biomass (Kg CO2 per litre) for the whole estate.

If a figure was returned under Energy consumption biomass (kWh), higher education providers (HEPs) will need to calculate the scope 1 and 2 emissions.

The consumption figure returned by the HEP should be broken down by the type of biomass, the component figures multiplied by the corresponding Defra conversion factors to produce the scope 1 and 2 carbon emissions. The sum of these should then be returned in this field.

The Defra conversion factors and guidance to support HEPs in returning this field can be found in the downloadable Excel spreadsheet, under the ‘Bioenergy’ tab.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions onsite photovoltaic (Kg CO2e),What is the total scope 1 and 2 carbon emissions from onsite photovoltaic for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from onsite photovoltaic. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions for the whole estate from onsite photovoltaic.

A carbon conversion factor of 0 will be used as the emissions from Energy consumption onsite photovoltaic is 0.","University Metrics, SDG7: Affordable and Clean Energy (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions onsite wind (Kg CO2e),What is the total scope 1 and 2 carbon emissions from onsite wind for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from onsite wind. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions for the whole estate from onsite wind.

A carbon conversion factor of 0 will be used as the Energy consumption onsite wind is 0.","University Metrics, SDG7: Affordable and Clean Energy (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions other onsite renewables (Kg CO2e),What is the total scope 1 and 2 carbon emissions from other onsite renewables for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from other onsite renewables. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.   ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from other onsite renewables (kWh) for the whole estate.

A carbon conversion factor of 0 will be used as the emissions from Energy consumption other onsite renewables is 0.
","University Metrics, SDG7: Affordable and Clean Energy (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions vehicles aviation spirit (Kg CO2e),What is the total scope 1 and 2 carbon emissions from vehicles aviation spirit for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from aviation spirit used in HEP-owned vehicles. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from aviation spirit (litres) used in vehicles owned or leased by the HEP.

The Defra conversion factors and guidance provide the conversion factor that will be used for Fuel used in HEP owned vehicles aviation spirit as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions vehicles aviation turbine fuel (Kg CO2e),What is the total scope 1 and 2 carbon emissions from vehicles aviation turbine fuel for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from aviation turbine fuel used in HEP-owned vehicles. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from aviation turbine fuel type (litres) used in vehicles owned or leased by the HEP.

The Defra conversion factors and guidance provide the conversion factor that will be used for Fuel used in HEP owned vehicles aviation turbine fuel as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions vehicles biofuels (Kg CO2e),What is the total scope 1 and 2 carbon emissions from vehicles biofuels for the whole estate?,"This field contains data about scope 1 and 2 emissions from biofuels used in HEP-owned vehicles. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.   ","Total scope 1 and 2 emissions from biofuels used in vehicles owned or leased by the HEP.

If a figure was returned under Fuel used in HEP owned vehicles biofuels (litres), higher education providers (HEPs) will need to calculate the scope 1 and 2 emissions.

The consumption figure returned by the HEP should be broken down by the type of biofuel, the component figures multiplied by the corresponding Defra conversion factors to produce the scope 1 and 2 carbon emissions. The sum of these should then be returned in this field.

The Defra conversion factors and guidance to support HEPs in returning this field can be found in the downloadable Excel spreadsheet, under the ‘Bioenergy’ tab.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions vehicles diesel (Kg CO2e),What is the total scope 1 and 2 carbon emissions from vehicles diesel for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from diesel used in HEP-owned vehicles. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from diesel (retail station biofuel blend) (litres) used in vehicles owned or leased by the HEP.

The Defra conversion factors and guidance provide the conversion factor that will be used for Fuel used in HEP owned vehicles diesel as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions vehicles liquefied petroleum gas (Kg CO2e),What is the total scope 1 and 2 carbon emissions from vehicles liquefied petroleum gas for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from liquefied petroleum gas used in HEP-owned vehicles. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from liquefied petroleum gas (litres) used in vehicles owned or leased by the HEP.

The Defra conversion factors and guidance provide the conversion factor that will be used for Fuel used in HEP owned vehicles liquefied petroleum gas as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 1 and 2 carbon emissions vehicles petrol (Kg CO2e),What is the total scope 1 and 2 carbon emissions from vehicles petrol gas for the whole estate?,"This field contains data about scope 1 and 2 carbon emissions from petrol used in HEP-owned vehicles. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This conversion will be undertaken by HESA.

Total scope 1 and 2 carbon emissions from petrol (retail station biofuel blend) (litres) used in vehicles owned or leased by the HEP.

The Defra conversion factors and guidance provide the conversion factor that will be used for Fuel used in HEP owned vehicles petrol as well as supplemental information.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential scope 1 and 2 carbon emissions total (Kg CO2e),What is the total scope 1 and 2 carbon emissions for the non-residential estate?,"This field contains data about scope 1 and 2 carbon emissions for the non-residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","This figure is for the scope 1 and 2 carbon emissions of the non-residential estate only. 

Scope 1 and 2 carbon emissions from vehicles must be excluded from both Non-residential scope 1 and 2 carbon emissions total and Residential scope 1 and 2 carbon emissions total. A vehicle should not be given a non-residential or residential distinction for the purposes of the Estates management record. This ensures that the scope 1 and 2 carbon emissions from vehicles are not double counted within Total scope 1 and 2 carbon emissions. 

HEPs will need to enter this figure (as the breakdown collected in Estates management record is not sufficient to enable HESA to calculate this).","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential scope 1 and 2 carbon emissions total (Kg CO2e),What is the total scope 1 and 2 carbon emissions for the residential estate?,"This field contains data about scope 1 and 2 carbon emissions for the residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.   ","This figure is for the scope 1 and 2 carbon emissions of the residential estate only.

Scope 1 and 2 carbon emissions from vehicles must be excluded from both Non-residential scope 1 and 2 carbon emissions total and Residential scope 1 and 2 carbon emissions total. A vehicle should not be given a non-residential or residential distinction for the purposes of the Estates management record. This ensures that the scope 1 and 2 carbon emissions from vehicles are not double counted within Total scope 1 and 2 carbon emissions.

HEPs will need to enter this figure (as the breakdown collected in Estates management record is not sufficient to enable HESA to calculate this).","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (Kg CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential volume of wastewater (m3),What is the total volume of wastewater for the non-residential estate?,"This field contains data about the volume of wastewater for the non-residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: part of the move to mandatory reporting of scope 3 carbon emissions.",This figure is for the volume of wastewater for the non-residential estate only.,"University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (m3),Community,Researched,Corporate Social Responsibility Report
